Year,Historical,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024,y2025,y2026
2000,29.379836,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2001,29.453605,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2002,30.397202,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2003,31.948771,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2004,33.083227,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2005,33.702877,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2006,34.881629,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2007,34.809941,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2008,36.010373,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2009,37.288306,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010,38.265679,38.265679,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2011,39.323299,38.855101,39.323299,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2012,40.778535,38.824208,39.924314,40.778535,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013,40.858162,38.305495,39.794575,41.482625,40.858162,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2014,41.373736,37.409452,39.103296,41.260381,41.361141,41.373736,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2015,41.41012,36.227847,37.989299,40.348148,40.909851,41.639963,41.41012,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016,40.438809,34.836538,36.565903,38.935465,39.763415,40.896157,41.406813,40.438809,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2017,41.240425,33.297901,34.925086,37.173378,38.126851,39.439226,40.363989,40.06045,41.240425,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2018,42.231942,31.662904,33.140998,35.181368,36.161181,37.499749,38.611298,38.728849,40.564922,42.231942,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019,42.231942,29.972889,31.272945,33.053102,33.991761,35.255188,36.399999,36.765171,38.81509,41.434142,42.231942,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020,NaN,28.261093,29.367902,30.86122,31.715137,32.84064,33.91953,34.411147,36.396251,39.237776,41.246909,42.231942,NaN,NaN,NaN,NaN,NaN,NaN
2021,NaN,26.553953,27.462641,28.661292,29.40468,30.357545,31.310794,31.846452,33.603209,36.239944,38.575077,40.978071,42.231942,NaN,NaN,NaN,NaN,NaN
2022,NaN,24.872217,25.585519,26.495098,27.1152,27.880745,28.676788,29.202515,30.646801,32.853679,35.023596,37.657659,40.522144,42.231942,NaN,NaN,NaN,NaN
2023,NaN,23.23189,23.757983,24.393327,24.88672,25.464178,26.091075,26.573484,27.674488,29.357928,31.122188,33.396071,36.282336,39.658218,42.231942,NaN,NaN,NaN
2024,NaN,21.645043,21.995834,22.377809,22.747562,23.145468,23.604533,24.024891,24.786265,25.934855,27.207045,28.88166,31.115078,34.097633,38.332994,42.231942,NaN,NaN
2025,NaN,20.120494,20.310284,20.46334,20.716846,20.949599,21.250696,21.600487,22.046915,22.697546,23.481027,24.514819,25.908707,27.830815,30.856247,35.957411,42.231942,NaN
2026,NaN,18.66439,18.70884,18.659177,18.806524,18.891864,19.049973,19.3276,19.495396,19.710474,20.056587,20.509606,21.116092,21.948709,23.26392,25.607281,30.633904,42.231942
2027,NaN,17.280698,17.196042,16.970263,17.02302,16.980209,17.012969,17.221335,17.152,17.004514,16.986145,16.96238,16.931991,16.892668,16.830362,16.724053,16.510002,15.856415
2028,NaN,15.971617,15.774073,15.398219,15.368555,15.217089,15.14308,15.287833,15.023779,14.587884,14.283377,13.897638,13.404302,12.766562,11.834643,10.376415,7.890973,3.207867
2029,NaN,14.737929,14.443266,13.942146,13.842198,13.60094,13.438511,13.526794,13.108626,12.454031,11.93797,11.298199,10.502607,9.512888,8.15062,6.223064,3.53251,0.54282
2030,NaN,13.579288,13.202525,12.599274,12.440719,12.127328,11.893835,11.933416,11.398323,10.587257,9.925707,9.124719,8.159382,7.00893,5.525087,3.643081,1.517424,0.084236
2031,NaN,12.494466,12.049665,11.365483,11.15925,10.789844,10.501193,10.499872,9.880789,8.966683,8.215228,7.327994,6.293943,5.116694,3.698786,2.094524,0.633551,0.012418
2032,NaN,11.481558,10.981696,10.235715,9.991811,9.580795,9.251201,9.216426,8.541725,7.568977,6.77246,5.856469,4.825668,3.706783,2.451266,1.187433,0.259078,0.00177
2033,NaN,10.538148,9.995052,9.204299,8.931724,8.491736,8.133626,8.072262,7.365789,6.370193,5.563419,4.660568,3.680679,2.668027,1.611014,0.665681,0.104278,0.000246
2034,NaN,9.661448,9.085776,8.265209,7.971928,7.513868,7.137898,7.0561,6.337426,5.346973,4.555882,3.694994,2.794662,1.909734,1.0514,0.369781,0.04145,0.000034
2035,NaN,8.848418,8.249664,7.412264,7.105217,6.638329,6.25347,6.156629,5.441436,4.477285,3.720315,2.919732,2.1135,1.360405,0.6821,0.20385,0.016311,0.000005
