Year,Historical,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024,y2025,y2026,y2027,y2028
2000,29.379836,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2001,29.453605,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2002,30.397202,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2003,31.948771,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2004,33.083227,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2005,33.702877,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2006,34.881629,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2007,34.809941,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2008,36.010373,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2009,37.288306,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010,38.265679,38.265679,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2011,39.323299,39.084991,39.323299,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2012,40.778535,39.661888,40.205287,40.778535,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013,40.858162,40.0229,40.811066,41.849867,40.858162,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2014,41.373736,40.192221,41.172521,42.575423,41.762769,41.373736,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2015,41.41012,40.1919,41.318582,42.998084,42.341487,42.094638,41.41012,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016,40.438809,40.042006,41.275464,43.156439,42.635442,42.506472,41.908284,40.438809,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2017,41.240425,39.760792,41.066903,43.08518,42.681603,42.649359,42.129454,40.559521,41.240425,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2018,42.231942,39.36484,40.714363,42.815451,42.513162,42.559291,42.110279,40.481751,41.170434,42.231942,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019,42.231942,38.869196,40.237232,42.375179,42.159883,42.268514,41.883607,40.231604,40.916982,42.261225,42.231942,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020,NaN,38.287501,39.652999,41.789366,41.648418,41.805877,41.47885,39.832577,40.505499,42.055769,42.304614,42.231942,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021,NaN,37.632098,38.977417,41.080365,41.002598,41.197151,40.922295,39.305789,39.958796,41.650091,42.11453,42.369335,42.231942,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022,NaN,36.914148,38.224658,40.268123,40.243696,40.465322,40.237408,38.670194,39.297301,41.07489,41.701814,42.207753,42.395023,42.231942,NaN,NaN,NaN,NaN,NaN,NaN
2023,NaN,36.143723,37.407447,39.370412,39.390666,39.630855,39.445096,37.942775,38.539281,40.357424,41.101962,41.794699,42.228845,42.202706,42.231942,NaN,NaN,NaN,NaN,NaN
2024,NaN,35.329897,36.537191,38.403031,38.460368,38.711934,38.563951,37.138727,37.70104,39.521847,40.346317,41.171944,41.7879,41.867267,42.063283,42.231942,NaN,NaN,NaN,NaN
2025,NaN,34.480835,35.624098,37.379996,37.467764,37.724685,37.610477,36.271618,36.797103,38.589522,39.462499,40.376145,41.119821,41.278413,41.597051,42.047142,42.231942,NaN,NaN,NaN
2026,NaN,33.603866,34.677279,36.313714,36.426102,36.683375,36.599288,35.35354,35.840383,37.579301,38.474792,39.439397,40.266155,40.482124,40.886942,41.538302,42.028569,42.231942,NaN,NaN
2027,NaN,32.705556,33.704853,35.215132,35.347085,35.600594,35.543296,34.395246,34.842333,36.507776,37.404496,38.389735,39.263046,39.518354,39.979508,40.766664,41.471017,42.007049,42.231942,NaN
2028,NaN,31.791772,32.714033,34.093889,34.241018,34.48742,34.453874,33.406273,33.813087,35.389517,36.270241,37.251577,38.141853,38.421727,38.914992,39.784939,40.629551,41.393459,41.981926,42.231942
2029,NaN,30.867748,31.711209,32.958438,33.116949,33.353575,33.341015,32.39506,32.761585,34.237273,35.088275,36.046129,36.929704,37.222154,37.728081,38.638359,39.564172,40.472318,41.303429,41.952346
2030,NaN,29.938134,30.702027,31.816168,31.982794,32.207553,32.213465,31.369051,31.695691,33.062166,33.872717,34.791742,35.649984,35.945392,36.448574,37.365608,38.325943,39.312315,40.290847,41.198109
2031,NaN,29.007052,29.691454,30.673507,30.845449,31.056752,31.078853,30.334792,30.622296,31.873861,32.635793,33.504238,34.322773,34.613534,35.101972,35.999643,36.958157,37.971369,39.023295,40.07991
2032,NaN,28.078142,28.683846,29.536027,29.710898,29.907585,29.943801,29.298013,29.547414,30.680717,31.38804,32.197199,32.965243,33.245448,33.710002,34.568421,35.497359,36.498107,37.566799,38.68949
2033,NaN,27.154604,27.683003,28.408523,28.584303,28.765578,28.814034,28.263716,28.476275,29.489934,30.138498,30.882224,31.591999,31.857169,32.291086,33.095541,33.974247,34.933156,35.97619,37.102524
2034,NaN,26.23924,26.692224,27.295102,27.470092,27.635472,27.694467,27.236241,27.413397,28.307671,28.894873,29.569162,30.215395,30.462246,30.860757,31.600812,32.414459,33.310263,34.29674,35.381072
2035,NaN,25.334491,25.714358,26.19925,26.372033,26.521297,26.589297,26.219333,26.362663,27.139168,27.663696,28.26632,28.845809,29.07205,29.432018,30.100743,30.839263,31.657274,32.565577,33.575693
2036,NaN,24.44247,24.751842,25.123902,25.293309,25.426455,25.502076,25.216205,25.327388,25.988842,26.450451,26.980648,27.49189,27.69605,28.015674,28.608993,29.266166,29.996983,30.812914,31.727246
2037,NaN,23.56499,23.806748,24.071499,24.23658,24.353788,24.435783,24.22959,24.310374,24.860383,25.259705,25.717902,26.160772,26.342052,26.620614,27.136747,27.709438,28.34787,29.063098,29.868439
2038,NaN,22.703598,22.880819,23.044045,23.204037,23.305636,23.392885,23.261792,23.313968,23.756836,24.09521,24.482797,24.858274,25.01642,25.254067,25.693062,26.180573,26.724742,27.33552,28.025146
2039,NaN,21.859597,21.975498,22.043154,22.197461,22.283901,22.375398,22.314732,22.34011,22.680678,22.960007,23.27913,23.589066,23.724262,23.921824,24.285162,24.688696,25.139288,25.645395,26.217535
2040,NaN,21.034072,21.091968,21.070095,21.218263,21.29009,21.384936,21.389988,21.390381,21.633884,21.856511,22.109906,22.356826,22.469599,22.628434,22.918696,23.240909,23.600559,24.004434,24.461023
2041,NaN,20.22791,20.23117,20.125833,20.267532,20.325365,20.422757,20.488831,20.466035,20.617987,20.786589,20.977436,21.164372,21.255517,21.377382,21.597971,21.8426,22.115384,22.421419,22.767094
2042,NaN,19.44182,19.393837,19.211064,19.34607,19.390586,19.489808,19.612263,19.568046,19.634135,19.751631,19.88343,20.01378,20.084294,20.171235,20.326149,20.497706,20.688725,20.902696,21.143991
2043,NaN,18.676355,18.580511,18.326249,18.454428,18.486344,18.586759,18.761045,18.697134,18.683135,18.752614,18.829083,18.906494,18.957518,19.011783,19.105423,19.208941,19.323986,19.452592,19.597298
2044,NaN,17.931924,17.79157,17.471641,17.592939,17.612996,17.714043,17.935723,17.853798,17.765503,17.790153,17.815142,17.843411,17.87619,17.900152,17.937166,17.978001,18.023282,18.073776,18.130438
2045,NaN,17.20881,17.027241,16.647315,16.761741,16.770696,16.871879,17.136656,17.038339,16.881498,16.864557,16.841974,16.824971,16.84081,16.836907,16.822065,16.805729,16.787659,16.767566,16.745088
2046,NaN,16.507182,16.287623,15.853189,15.960808,15.959423,16.060306,16.36404,16.250892,16.031158,15.975868,15.909623,15.85122,15.851459,15.822143,15.760237,15.692266,15.617294,15.534183,15.441531
2047,NaN,15.827111,15.572699,15.089046,15.189967,15.179002,15.279203,15.617925,15.49144,15.214334,15.123903,15.017857,14.921881,14.907863,14.855565,14.751326,14.637183,14.511659,14.372972,14.218946
2048,NaN,15.168578,14.882354,14.354554,14.448925,14.429129,14.528317,14.898235,14.759839,14.430713,14.308285,14.166215,14.036401,14.009458,13.936552,13.794589,13.639582,13.469661,13.282589,13.075659
2049,NaN,14.531486,14.216383,13.649281,13.73728,13.709386,13.807274,14.204784,14.055833,13.679847,13.52848,13.354044,13.194006,13.155439,13.06422,12.888972,12.698196,12.489764,12.261151,12.00934
2050,NaN,13.91567,13.574508,12.972713,13.054542,13.019265,13.115607,13.537294,13.379069,12.961172,12.783818,12.580535,12.393739,12.344806,12.237473,12.033173,11.811467,11.570087,11.306372,11.017177
2051,NaN,13.320906,12.956384,12.324266,12.400146,12.358175,12.452761,12.895403,12.729117,12.27403,12.073518,11.84475,11.634495,11.576403,11.455045,11.225696,10.977614,10.708495,10.415666,10.096012
2052,NaN,12.746917,12.361612,11.703299,11.773464,11.725463,11.818118,12.278684,12.105475,11.617683,11.396712,11.145651,10.915057,10.848953,10.715539,10.464898,10.194691,9.902665,9.586238,9.242454
2053,NaN,12.193382,11.789745,11.109123,11.173818,11.120423,11.210999,11.68665,11.507584,10.991332,10.752461,10.482119,10.234121,10.161089,10.017462,9.749029,9.460635,9.150147,8.815161,8.452976
2054,NaN,11.659942,11.240298,10.541015,10.60049,10.542306,10.630683,11.118766,10.934842,10.394125,10.139771,9.852977,9.590316,9.511374,9.359251,9.076266,8.773306,8.448416,8.099432,7.723983
2055,NaN,11.146205,10.712752,9.998219,10.052729,9.990331,10.076413,10.574457,10.386604,9.825174,9.557608,9.257005,8.982231,8.898328,8.739296,8.444739,8.130523,7.79491,7.436026,7.051879
2056,NaN,10.651752,10.206565,9.479961,9.529762,9.463692,9.547404,10.053119,9.8622,9.283565,9.004909,8.692957,8.408427,8.320444,8.155963,7.852559,7.53009,7.187065,6.821931,6.433107
2057,NaN,10.176144,9.72117,8.985453,9.030798,8.961567,9.042854,9.554119,9.360933,8.768361,8.480594,8.159568,7.867453,7.776201,7.607609,7.297834,6.969819,6.622341,6.254182,5.864188
2058,NaN,9.718921,9.255988,8.513895,8.555036,8.483123,8.561946,9.076809,8.882094,8.278617,7.983574,7.655571,7.357858,7.264083,7.092594,6.778688,6.447552,6.098242,5.729885,5.341751
2059,NaN,9.279609,8.810427,8.064486,8.10167,8.027523,8.103858,8.620525,8.424958,7.813383,7.512758,7.179703,6.878203,6.782584,6.6093,6.293271,5.961171,5.612337,5.246235,4.862549
